date,in_sample_mse,out_sample_mse,in_sample_r2,out_sample_r2,n_train,n_test,tree_nodes,max_depth,min_samples_leaf
2022-01-31,5.28069689192494e-05,5.5074374026935815e-05,0.747440935017032,0.6522921650204616,8400,100,223,7,30
2022-02-28,5.265080205861259e-05,5.637887439660962e-05,0.7474707344627268,0.7150823984283631,8500,100,227,7,30
2022-03-31,5.283697715456874e-05,6.827660920884604e-05,0.7464294956919326,0.6091152898674399,8600,100,223,7,30
2022-04-30,5.295763064140828e-05,6.205581920204542e-05,0.7453806338302906,0.6917134894875064,8700,100,225,7,30
2022-05-31,5.3123967761503705e-05,6.642641776103414e-05,0.7444881801416443,0.6583229560678048,8800,100,225,7,30
2022-06-30,5.3278182732458126e-05,6.091082207381675e-05,0.7435593731935409,0.6644600417495722,8900,100,223,7,30
2022-07-31,5.3210804392820494e-05,6.219834672402311e-05,0.7435308659007045,0.6832874041275203,9000,100,225,7,30
2022-08-31,5.346130620055465e-05,7.31096774373359e-05,0.7421734440687144,0.5767447434184912,9100,100,223,7,30
2022-09-30,5.371875023817085e-05,5.985401770261718e-05,0.7404865257486133,0.6643972521921402,9200,100,221,7,30
2022-10-31,5.3787344533619304e-05,6.293837117753693e-05,0.7397712578068938,0.7691177332835591,9300,100,221,7,30
2022-11-30,5.3309566478509826e-05,7.765873673782459e-05,0.7429566625727656,0.645851163057746,9400,100,225,7,30
2022-12-31,5.397068730393342e-05,6.311021044691093e-05,0.7399336143387357,0.7128444328966113,9500,100,225,7,30
2023-01-31,5.375804510024774e-05,6.383899111378013e-05,0.7411174646446901,0.693571996067789,9600,100,225,7,30
2023-02-28,5.379386777437617e-05,8.525687174930414e-05,0.7409619083771268,0.5342635279235779,9700,100,225,7,30
2023-03-31,5.369609464623273e-05,5.49536179793881e-05,0.7411215000666149,0.7964481202145721,9800,100,227,7,30
2023-04-30,5.3616410966053556e-05,8.052778096171994e-05,0.7422907721014751,0.6408965725346689,9900,100,229,7,30
2023-05-31,5.4004367156381504e-05,6.057667914185015e-05,0.7406282875583096,0.646375765113796,10000,100,227,7,30
2023-06-30,5.4082842565805423e-05,6.862569788370901e-05,0.7397948293371638,0.6659482528145142,10100,100,225,7,30
2023-07-31,5.4055409340596646e-05,8.555988581669589e-05,0.7399040859074533,0.6355581414602227,10200,100,227,7,30
2023-08-31,5.412179065859433e-05,7.798047446238172e-05,0.7399282092788189,0.6570063514058688,10300,100,229,7,30
2023-09-30,5.3847532483745446e-05,7.590386213151029e-05,0.7414767543526948,0.6901884904559192,10400,100,235,7,30
2023-10-31,5.4260364538492056e-05,5.568427069185434e-05,0.7399436023421506,0.6633481844636139,10500,100,229,7,30
2023-11-30,5.4211459371480335e-05,7.050254237719517e-05,0.7396705601262945,0.6170075022364002,10600,100,229,7,30
2023-12-31,5.418189217681799e-05,6.080492178749607e-05,0.7395314963027937,0.6807925459213909,10700,100,231,7,30
2024-01-31,5.449247002027668e-05,6.658467061884397e-05,0.7378349220727858,0.6847456646572379,10800,100,231,7,30
2024-02-29,5.450556499340727e-05,7.549043738178236e-05,0.7378137362124599,0.59669279765732,10900,100,229,7,30
2024-03-31,5.4467096760042306e-05,6.331717159264976e-05,0.7377636598347737,0.7249905716286653,11000,100,231,7,30
2024-04-30,5.4511105840882195e-05,6.213543125773911e-05,0.7378080449418588,0.7157023273024559,11100,100,233,7,30
2024-05-31,5.456486149477101e-05,7.485686900463403e-05,0.737674112087672,0.6399666317444265,11200,100,231,7,30
2024-06-30,5.453954365776509e-05,8.167432338456189e-05,0.737798110090077,0.5828871979187883,11300,100,231,7,30
2024-07-31,5.4928509402600756e-05,5.485277116583451e-05,0.7357952793669796,0.7497491163602732,11400,100,237,7,30
2024-08-31,5.487793847991818e-05,6.721992989543631e-05,0.7361633782490915,0.6737731172800245,11500,100,231,7,30
2024-09-30,5.503995873701507e-05,6.191992396591418e-05,0.7353659167413147,0.6511151637119992,11600,100,233,7,30
2024-10-31,5.467259154765923e-05,6.707394419629884e-05,0.7368028629741421,0.7368300419488454,11700,100,235,7,30
2024-11-30,5.5086150829017964e-05,7.998452104208055e-05,0.7353217337765794,0.6689541745238496,11800,100,227,7,30
2024-12-31,5.467230622564877e-05,6.872032226586503e-05,0.7376653930274675,0.6745890715811172,11900,100,239,7,30
